Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;Sum;Average
Mrak;Tibor;OK Azimut;A;0:38:54;1;1180;1132;1302;1180;3614;1205
Pretnar;Janez;OK Azimut;A;0:54:55;6;985;1171;1016;985;3172;1057
Borštnik;Andrej;OK Tivoli;A;0:52:13;3;1018;1182;900;1018;3100;1033
Čelik;Patrik;OK Azimut;A;0:53:59;4;997;675;812;997;2484;828
Zmrzlikar;Jure;OK Komenda;A;;;;1193;1261;;2454;1227
Cimerman;Janez;OK Azimut;A;1:20:38;26;673;741;834;673;2248;749
Eržen;Valentin;OK Azimut;A;0:54:00;5;997;;1109;997;2106;1053
Lapajne;Jošt;OK Azimut;A;0:58:39;9;940;958;;940;1898;949
Knap;Franc;OK Azimut;A;0:58:42;10;939;956;;939;1895;948
Kenda;Klemen;OK Azimut;A;0:56:17;7;969;;910;969;1879;940
Sladič;Roman;OK Perkmandeljc;A;1:12:52;20;767;563;449;767;1779;593
Pribaković Borštnik;Ana;OK Tivoli;A;;;;851;890;;1741;870
Kacin;Vojko;OK Azimut;A;1:16:31;22;723;280;679;723;1682;561
Petrovič;Dušan;OK Polaris;A;;;;843;819;;1662;831
Borštnik;Aljaž;OK Tivoli;A;0:59:28;11;930;;687;930;1617;808
Udovič;Metka;SCOM Mendrisio;A;1:07:13;18;836;713;;836;1549;774
Burič;Uroš;RJZ Velenje;A;1:04:24;17;870;400;186;870;1456;485
Jeram;Nuša;OK Azimut;A;1:22:47;28;646;;789;646;1435;718
Čufer;David;PD Ajdovščina;A;;;;763;603;;1366;683
Zorman;Nejc;OK Komenda;A;;;;1181;;;1181;1181
Kete;Ivo;PD Ajdovščina;A;1:03:57;16;876;289;;876;1165;582
Borštnik;Aleš;OK Tivoli;A;1:19:35;23;685;;415;685;1100;550
Hošek;Radim;KOB Dobruska;A;;;;1074;;;1074;1074
Sušnik;Rok;OK Azimut;A;1:20:01;25;680;392;;680;1072;536
Bogovič;Vid;OK Brežice;A;;;;1041;;;1041;1041
Rupnik;Tilen;OK Azimut;A;0:51:06;2;1032;-;;1032;1032;1032
Hvala;Gregor;OK Azimut;A;;;;953;;;953;953
Kodrič;Nejc;PD Ajdovščina;A;0:57:42;8;952;;;952;952;952
Kmetič;Sandi;OK Polaris;A;;;;;933;;933;933
Čufer;Stanko;PD Ajdovščina;A;;;;415;509;;924;462
Alewijnse;Feike;OK Trzin;A;1:00:51;12;913;;;913;913;913
Bernik;Jerca;ŠOK;A;1:01:54;13;900;;;900;900;900
Bosisio;Kristian;SCOM Mendrisio;A;1:02:47;14;890;;;890;890;890
Jazbar;Jožko;OK Azimut;A;1:03:07;15;886;;;886;886;886
Petrovič;Blaž;OK Polaris;A;;;;872;;;872;872
Petrovič;Uroš;OK Polaris;A;;;;868;;;868;868
Pretnar;Tanja;OK Azimut;A;;;;866;;;866;866
Maček;Marjan;ind;A;;;;846;;;846;846
Clemente;Mauro;SSD Gaja;A;;;;842;;;842;842
Foški;Tajda;OK Polaris;A;1:07:57;19;827;;;827;827;827
Čelik;Matija;OK Azimut;A;;;;;800;;800;800
Vodopivec;Samo;OK Azimut;A;1:13:17;21;762;;;762;762;762
Pizzamus;Paolo;SSD Gaja;A;;;;756;;;756;756
Bartulovich;Lorenzo;SSD Gaja;A;;;;756;;;756;756
Cvek;Manca;OK Azimut;A;mp;;;711;-;-;711;711
Zupan;Aleš;OK Polaris;A;1:19:42;24;684;;;684;684;684
Keresteš;Krešo;OK Trzin;A;1:22:01;27;656;;;656;656;656
Krivičić;Dragan;OK Perkmandeljc;A;1:26:12;29;605;;-846;605;605;605
Leoni;Gianluca;SSD Gaja;A;;;;555;;;555;555
Pacor;Fulvio;SSD Gaja;A;;;;482;;;482;482
Pestotnik;Rok;Pustolovec Rajd;A;;;;396;;;396;396
Smolej;Katarina;OK Azimut;A;1:45:41;30;368;;;368;368;368
Mirnik;Jona;OK Komenda;A;;;;297;;;297;297
Rejec;Gašper;OK Azimut;B;0:41:32;1;354;366;330;354;1050;350
Slapničar;Anja;RJZ Velenje;B;0:54:27;7;265;220;323;265;808;269
Pretnar;Irma;OK Azimut;B;1:09:51;11;202;193;250;202;645;215
Vukajlovič;Vladan;DGNSP;B;1:12:11;12;194;291;126;194;611;204
Poljanšek;Katjuša;OK Azimut;B;0:54:20;6;268;287;;268;555;278
Rejec;Pavel;DGNSP;B;0:53:51;3;279;-;256;279;535;268
Škarabot;Matej;OK Polaris;B;1:01:34;10;229;;273;229;502;251
Črnigoj;Nina;PD Ajdovščina;B;1:00:42;9;235;-;236;235;471;236
Škvarč;Teja;PD Ajdovščina;B;1:25:18;15;158;114;184;158;456;152
Rejec;Marjana;DGNSP;B;1:43:50;18;123;110;144;123;377;126
Bukovnik;Tina;RJZ Velenje;B;1:25:56;16;154;;222;154;376;188
Humar;Matjaž;ind;B;;;;;345;;345;345
Jeram;Nuša;OK Azimut;B;;;;337;;;337;337
Šalamun;Jan;OK Polaris;B;;;;330;;;330;330
Foški;Tajda;OK Polaris;B;;;;324;;;324;324
Štor;Luka;PD Ajdovščina;B;0:46:23;2;320;;;320;320;320
De Luisa;Andraž;SSD Gaja;B;;;;316;;;316;316
Jerman;Lara;OK Trzin;B;;;;299;;;299;299
Ravnikar;Monika;OK Komenda;B;;;;295;;;295;295
Dremel;Ula;OK Trzin;B;;;;284;;;284;284
Mirnik;Jona;OK Komenda;B;;;;;278;;278;278
Zupan;Polona;OK Polaris;B;0:53:54;4;276;;;276;276;276
Volčič;Maša;OK Tivoli;B;;;;276;;;276;276
Burger;Veronika;OK Polaris;B;;;;273;;;273;273
Škvarč;Dejan;PD Ajdovščina;B;0:54:17;5;272;;;272;272;272
Hrovat;Maj;OK Trzin;B;;;;249;;;249;249
Rupnik;Andraž;OK Azimut;B;0:58:32;8;246;;;246;246;246
Petrovic;Gašper;OK Polaris;B;;;;;241;;241;241
Lipužič;Marjeta;OK Komenda;B;;;;213;;;213;213
Petkovšek;Gal;OK Azimut;B;;;;;212;;212;212
Čufer;Ana;PD Ajdovščina;B;;;;209;;;209;209
Špendl;Martin;OK Trzin;B;;;;197;;;197;197
Cigoj;Jure;PD Ajdovščina;B;1:12:33;13;190;;;190;190;190
Krhlikar;Denis;OK Azimut;B;;;;;187;;187;187
Keresteš;Mateja;OK Trzin;B;1:19:32;14;172;;;172;172;172
Sepin;Claudio;SSD Gaja;B;;;;143;;;143;143
De Luisa;Marko;SSD Gaja;B;;;;139;;;139;139
Zabukovec;Klemen;PD Ajdovščina;B;1:33:47;17;139;;;139;139;139
Škvarč;Sašo;PD Ajdovščina;C;0:28:20;1;118;59;;118;177;88
Pahor;Maj Peter;PD Ajdovščina;C;0:32:32;3;103;-;50;103;153;76
Bizjak;Žan;PD Ajdovščina;C;0:40:31;7;82;;58;82;140;70
Slejko;Nik;PD Ajdovščina;C;0:40:47;8;80;;37;80;117;58
Simonič;Matjaž;PD Ajdovščina;C;0:28:50;2;115;;;115;115;115
Rijavec;Jure;PD Ajdovščina;C;0:58:04;14;54;60;;54;114;57
Štor;Luka;PD Ajdovščina;C;;;;;109;;109;109
Škarabot;Matej;OK Polaris;C;;;;106;;;106;106
Škarabot;Anja;OK Polaris;C;0:49:17;12;64;;41;64;105;52
Bizjak;Žiga;PD Ajdovščina;C;1:13:02;17;41;58;-;41;99;50
Zupan;Peter;OK Polaris;C;0:34:59;4;96;;;96;96;96
Harej;Daša;PD Ajdovščina;C;0:56:59;13;56;;39;56;95;48
Bratina;Kaja;PD Ajdovščina;C;;;;;91;;91;91
