Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;Sum;Average
Mrak;Tibor;OK Azimut;A;0:38:54;1;1180;1132;1302;1180;3614;1205
Pretnar;Janez;OK Azimut;A;0:54:55;6;985;1171;1016;985;3172;1057
Borstnik;Andrej;OK Tivoli;A;0:52:13;3;1018;1182;900;1018;3100;1033
Celik;Patrik;OK Azimut;A;0:53:59;4;997;675;812;997;2484;828
Zmrzlikar;Jure;;A;;;;1193;1261;;2454;1227
Cimerman;Janez;OK Azimut;A;1:20:38;26;673;741;834;673;2248;749
Erzen;Valentin;OK Azimut;A;0:54:00;5;997;;1109;997;2106;1053
Lapajne;Jost;OK Azimut;A;0:58:39;9;940;958;;940;1898;949
Knap;Franc;OK Azimut;A;0:58:42;10;939;956;;939;1895;948
Kenda;Klemen;OK Azimut;A;0:56:17;7;969;;910;969;1879;940
Sladic;Roman;OK Perkmandeljc;A;1:12:52;20;767;563;449;767;1779;593
Pribakovic Borstnik;Ana;;A;;;;851;890;;1741;870
Kacin;Vojko;OK Azimut;A;1:16:31;22;723;280;679;723;1682;561
Petrovic;Dusan;;A;;;;843;819;;1662;831
Borstnik;Aljaz;OK Tivoli;A;0:59:28;11;930;;687;930;1617;808
Udovic;Metka;SCOM Mendrisio;A;1:07:13;18;836;713;;836;1549;774
Buric;Uros;RJZ Velenje;A;1:04:24;17;870;400;186;870;1456;485
Jeram;Nusa;OK Azimut;A;1:22:47;28;646;;789;646;1435;718
Cufer;David;;A;;;;763;603;;1366;683
Zorman;Nejc;;A;;;;1181;;;1181;1181
Kete;Ivo;PD Ajdovscina;A;1:03:57;16;876;289;;876;1165;582
Borstnik;Ales;OK Tivoli;A;1:19:35;23;685;;415;685;1100;550
Radim;Hosek;;A;;;;1074;;;1074;1074
Susnik;Rok;OK Azimut;A;1:20:01;25;680;392;;680;1072;536
Bogovic;Vid;OK Brezice;A;;;;1041;;;1041;1041
Rupnik;Tilen;OK Azimut;A;0:51:06;2;1032;niTock;;1032;1032;1032
Hvala;Gregor;OK Azimut;A;;;;953;;;953;953
Kodric;Nejc;;A;0:57:42;8;952;;;952;952;952
Kmetic;Sandi;;A;;;;;933;;933;933
Cufer;Stanko;;A;;;;415;509;;924;462
Alewijnse;Feike;OK Trzin;A;1:00:51;12;913;;;913;913;913
Bernik;Jerca;SOK;A;1:01:54;13;900;;;900;900;900
Bosisio;Kristian;;A;1:02:47;14;890;;;890;890;890
Jazbar;Jozko;OK Azimut;A;1:03:07;15;886;;;886;886;886
Petrovic;Blaz;OK Polaris;A;;;;872;;;872;872
Petrovic;Uros;OK Polaris;A;;;;868;;;868;868
Pretnar;Tanja;OK Azimut;A;;;;866;;;866;866
Macek;Marjan;ind;A;;;;846;;;846;846
Clemente;Mauro;SSD Gaja;A;;;;842;;;842;842
Foski;Tajda;;A;1:07:57;19;827;;;827;827;827
Celik;Matija;;A;;;;;800;;800;800
Vodopivec;Samo;OK Azimut;A;1:13:17;21;762;;;762;762;762
Pizzamus;Paolo;SSD Gaja;A;;;;756;;;756;756
Bartulovich;Lorenzo;SSD Gaja;A;;;;756;;;756;756
Cvek;Manca;OK Azimut;A;mp;;;711;niTock;niTock;711;711
Zupan;Ales;OK Polaris;A;1:19:42;24;684;;;684;684;684
Kerestes;Kreso;OK Trzin;A;1:22:01;27;656;;;656;656;656
Krivicic;Dragan;OK Perkmandeljc;A;1:26:12;29;605;;-846;605;605;605
Leoni;Gianluca;;A;;;;555;;;555;555
Pacor;Fulvio;SSD Gaja;A;;;;482;;;482;482
Pestotnik;Rok;Pustolovec Rajd;A;;;;396;;;396;396
Smolej;Katarina;;A;1:45:41;30;368;;;368;368;368
Mirnik;Jona;;A;;;;297;;;297;297
Rejec;Gasper;OK Azimut;B;0:41:32;1;118;122;110;118;350;117
Slapnicar;Anja;RJZ Velenje;B;0:54:27;7;88;73;108;88;269;90
Pretnar;Irma;OK Azimut;B;1:09:51;11;67;64;83;67;214;71
Vukajlovic;Vladan;DGNSP;B;1:12:11;12;65;97;42;65;204;68
Poljansek;Katjusa;OK Azimut;B;0:54:20;6;89;96;;89;185;92
Rejec;Pavel;DGNSP;B;0:53:51;3;93;niTock;85;93;178;89
Skarabot;Matej;;B;1:01:34;10;76;;91;76;167;84
Crnigoj;Nina;PD Ajdovscina;B;1:00:42;9;78;niTock;79;78;157;78
Skvarc;Teja;PD Ajdovscina;B;1:25:18;15;53;38;61;53;152;51
Rejec;Marjana;DGNSP;B;1:43:50;18;41;37;48;41;126;42
Bukovnik;Tina;RJZ Velenje;B;1:25:56;16;51;;74;51;125;62
Humar;Matjaz;;B;;;;;115;;115;115
Jeram;Nusa;OK Azimut;B;;;;112;;;112;112
Salamun;Jan;OK Polaris;B;;;;110;;;110;110
Foski;Tajda;OK Polaris;B;;;;108;;;108;108
Stor;Luka;PD Ajdovscina;B;0:46:23;2;107;;;107;107;107
De Luisa;Andraz;SSD Gaja;B;;;;105;;;105;105
Jerman;Lara;OK Trzin;B;;;;100;;;100;100
Ravnikar;Monika;OK Komenda;B;;;;98;;;98;98
Dremel;Ula;OK Trzin;B;;;;95;;;95;95
Mirnik;Jona;;B;;;;;93;;93;93
Zupan;Polona;OK Polaris;B;0:53:54;4;92;;;92;92;92
Volcic;Masa;OK Tivoli;B;;;;92;;;92;92
Burger;Veronika;OK Polaris;B;;;;91;;;91;91
Skvarc;Dejan;;B;0:54:17;5;91;;;91;91;91
Hrovat;Maj;OK Trzin;B;;;;83;;;83;83
Rupnik;Andraz;OK Azimut;B;0:58:32;8;82;;;82;82;82
Petrovic;Gasper;;B;;;;;80;;80;80
Lipuzic;Marjeta;OK Komenda;B;;;;71;;;71;71
Petkovsek;Gal;;B;;;;;71;;71;71
Cufer;Ana;PD Ajdovscina;B;;;;70;;;70;70
Spendl;Martin;OK Trzin;B;;;;66;;;66;66
Cigoj;Jure;PD Ajdovscina;B;1:12:33;13;63;;;63;63;63
Krhlikar;Denis;;B;;;;;62;;62;62
Kerestes;Mateja;OK Trzin;B;1:19:32;14;57;;;57;57;57
Sepin;Claudio;SSD Gaja;B;;;;48;;;48;48
Zabukovec;Klemen;PD Ajdovscina;B;1:33:47;17;46;;;46;46;46
De Luisa;Marko;SSD Gaja;B;;;;46;;;46;46
Skvarc;Saso;PD Ajdovscina;C;0:28:20;1;118;59;;118;177;88
Pahor;Maj Peter;PD Ajdovscina;C;0:32:32;3;103;niTock;50;103;153;76
Bizjak;Zan;PD Ajdovscina;C;0:40:31;7;82;;58;82;140;70
Slejko;Nik;PD Ajdovscina;C;0:40:47;8;80;;37;80;117;58
Simonic;Matjaz;;C;0:28:50;2;115;;;115;115;115
Rijavec;Jure;PD Ajdovscina;C;0:58:04;14;54;60;;54;114;57
Stor;Luka;PD Ajdovscina;C;;;;;109;;109;109
Skarabot;Matej;;C;;;;106;;;106;106
Skarabot;Anja;;C;0:49:17;12;64;;41;64;105;52
Bizjak;Ziga;;C;1:13:02;17;41;58;niTock;41;99;50
Zupan;Peter;OK Polaris;C;0:34:59;4;96;;;96;96;96
Harej;Dasa;PD Ajdovscina;C;0:56:59;13;56;;39;56;95;48
Bratina;Kaja;;C;;;;;91;;91;91
Kete;Jana;PD Ajdovscina;C;0:39:15;5;86;niTock;;86;86;86
Remskar;Zan;PD Ajdovscina;C;0:40:19;6;83;;;83;83;83
Pahor;Nejc;PD Ajdovscina;C;0:43:28;9;75;;;75;75;75
Bone;Matevz;PD Ajdovscina;C;0:46:01;10;71;;;71;71;71
Kmetic;Zarja;PD Ajdovscina;C;0:46:39;11;69;;;69;69;69
