Surname;First name;Pl;Time;Cl.name;Classifier;Short;km;m;Course controls
RADOVANOVIC;Slobodan;1;0:49:52;MAGICMAP;0;A;;;
JOKOLAR;Zdenek;2;0:51:40;NOCLUB;0;A;;;
KENDA;Klemen;3;0:58:43;OK AZIMUT;0;A;;;
FOSKI;VALTER;4;1:06:30;OK POLARIS;0;A;;;
MARGIORE;Andrea;5;1:06:39;ORIENTEERING TRIESTE;0;A;;;
CIMERMAN;Janez;6;1:06:40;OK AZIMUT;0;A;;;
PACOR;Fulvio;7;1:10:08;SSD Gaja;0;A;;;
CUFER;David;8;1:10:21;PD AJDOVSCINA;0;A;;;
CUFER;Stanko;9;1:11:50;PD AJDOVSCINA;0;A;;;
HECHICH;Marirosa;10;1:13:45;SEMIPERDO ORIENTEERING MANIAGO;0;A;;;
ZUPAN;Ales;11;1:14:26;OK POLARIS;0;A;;;
RIVETTA;Andrea;12;1:16:11;SEMIPERDO ORIENTEERING MANIAGO;0;A;;;
LEONI;Gianluca;13;1:16:18;SSD Gaja;0;A;;;
CIGNINI;Enrico;14;1:16:51;CAI XXX OTTOBRE;0;A;;;
ZAMBIASI;Clizia;15;1:17:11;SEMIPERDO ORIENTEERING MANIAGO;0;A;;;
GRABAR;CRISTINA;16;1:19:20;U.S. PRIMIERO;0;A;;;
VOJKO;Kacin;17;1:20:36;OK AZIMUT;0;A;;;
PIZZAMUS;Paolo;18;1:21:31;SSD Gaja;0;A;;;
KETE;Ivo;19;1:22:39;PD AJDOVSCINA;0;A;;;
ONGARO;Marco;20;1:27:50;U.S. PRIMIERO;0;A;;;
DE;LUISA Andraz;21;1:28:00;SSD Gaja;0;A;;;
RUINI;Cristina;22;1:31:10;CAI XXX OTTOBRE;0;A;;;
CORREDIG;Antonino;23;1:32:56;SEMIPERDO ORIENTEERING MANIAGO;0;A;;;
PACASSO;Alessandro;24;1:33:17;SEMIPERDO ORIENTEERING MANIAGO;0;A;;;
TOFFANIN;Fabio;25;1:45:24;CAI XXX OTTOBRE;0;A;;;
DE;LUISA Marko;26;1:49:23;SSD Gaja;0;A;;;
SUSNIK;Rok;27;1:53:00;OK AZIMUT;0;A;;;
PELESSONI;Renato;28;1:54:26;SSD Gaja;0;A;;;
ROZZI;Alessio;29;1:56:20;SSD Gaja;0;A;;;
RUZZIER;Fiorenzo;30;2:03:10;SSD Gaja;0;A;;;
GAION;Sara;31;2:10:16;ORIENTEERING TRIESTE;0;A;;;
LUIN;Rinaldo;32;2:16:01;SSD Gaja;0;A;;;
KRIVICIC;DRAGAN;33;2:19:26;OK PERKMANDELJC;0;A;;;
ALDEGHIERI;Luca;;mp;SEMIPERDO ORIENTEERING MANIAGO;0;A;;;
CLEMENTE;Mauro;;mp;SSD Gaja;0;A;;;
STERLE;Giulio;;mp;CAI XXX OTTOBRE;0;A;;;
FOSCHIAN;ANDREA;1;0:39:44;ORIENTEERING TRIESTE;0;B;;;
FELCHERO;Mauro;2;0:51:13;FRIULI ORIENTEERING;0;B;;;
STURNI;Matteo;3;0:53:15;ORIENTEERING TRIESTE;0;B;;;
STOR;Luka;4;0:54:07;PD AJDOVSCINA;0;B;;;
KUZMIN;Anka;5;0:56:16;SEMIPERDO ORIENTEERING MANIAGO;0;B;;;
SPECOGNA;Giuseppe;6;0:56:17;FRIULI ORIENTEERING;0;B;;;
REJEC;Gasper;7;1:02:21;OK AZIMUT;0;B;;;
ZUPAN;Polona;8;1:03:37;OK POLARIS;0;B;;;
GIUDICI;Piero;9;1:04:50;ORIENTEERING TRIESTE;0;B;;;
CAFAGNA;Michele;10;1:05:52;ORIENTEERING TRIESTE;0;B;;;
PREDONZAN;Roberto;11;1:06:12;ORIENTEERING TRIESTE;0;B;;;
FERLUGA;Peter;12;1:09:49;SSD Gaja - Sezione Orientamento;0;B;;;
CIBIN;Irene;13;1:10:56;CAI XXX OTTOBRE;0;B;;;
FORTUNATI;Alberto;14;1:11:14;ORIENTEERING TRIESTE;0;B;;;
XAUSA;Gabriella;15;1:11:38;FRIULI ORIENTEERING;0;B;;;
CEREATTI;Roberto;16;1:12:50;FRIULI ORIENTEERING;0;B;;;
SEPIN;Chiara;17;1:13:47;SSD Gaja;0;B;;;
GERMANI;Marko;18;1:14:18;SSD Gaja;0;B;;;
PAVAN;Marco;19;1:15:55;SEMIPERDO ORIENTEERING MANIAGO;0;B;;;
VISINTIN;Federica;20;1:17:49;SEMIPERDO ORIENTEERING MANIAGO;0;B;;;
MANTOVANI;Antonella;21;1:18:19;CAI XXX OTTOBRE;0;B;;;
CRNIGOJ;Nina;22;1:21:45;PD AJDOVSCINA;0;B;;;
RUZZIER;Margherita;23;1:21:55;CAI XXX OTTOBRE;0;B;;;
VIVIANI;Irene;24;1:28:41;CAI XXX OTTOBRE;0;B;;;
ENDLER;Adriano;25;1:29:35;CAI XXX OTTOBRE;0;B;;;
STRUKEL;Giuliana;26;1:32:44;CAI XXX OTTOBRE;0;B;;;
SINIGAGLIA;Antonella;27;1:32:49;SSD Gaja;0;B;;;
COLOMBO;CRISTIANO;28;1:48:24;CAI XXX OTTOBRE;0;B;;;
REJEC;Pavel;29;2:00:19;OK AZIMUT;0;B;;;
SCHIAVUZZI;Fulvia;30;2:17:25;CAI XXX OTTOBRE;0;B;;;
VUKAJLOVIÈ;Vladan;31;2:24:21;OK AZIMUT;0;B;;;
REJEC;Marjana;32;2:49:57;OK AZIMUT;0;B;;;
CLARI;Elena;;mp;CAI XXX OTTOBRE;0;B;;;
KOVAC;Marija;;mp;PD AJDOVSCINA;0;B;;;
FERRO;Marisa;;mp;SEMIPERDO ORIENTEERING MANIAGO;0;B;;;
CHIALCHIA;Stefania;;mp;SSD Gaja;0;B;;;
DE;MONTE Tiziana;;mp;CAI XXX OTTOBRE;0;B;;;
Cecon;Alessandro;;mp;FRIULI ORIENTEERING;0;B;;;
LAFASANELLA;Enzo;;mp;CAI XXX OTTOBRE;0;B;;;
RUINI;Marco;;mp;CAI XXX OTTOBRE;0;B;;;
SBRIZZI;Paolo;;mp;FRIULI ORIENTEERING;0;B;;;
