Surname;First name;Cl.name;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;Sum;Average
Mrak;Tibor;OK Azimut;A;0:38:37;2;974;1116;1294;1172;974;4556;1139
Borštnik;Andrej;OK Tivoli;A;0:39:14;6;965;1164;897;1013;965;4039;1010
Zmrzlikar;Jure;OK Komenda;A;0:33:18;1;1054;1175;1254;;1054;3483;1161
Čelik;Patrik;OK Azimut;A;0:40:05;8;952;674;810;992;952;3428;857
Pretnar;Janez;OK Azimut;A;;;;1154;1011;981;;3146;1049
Cimerman;Janez;OK Azimut;A;0:46:25;20;857;738;831;673;857;3099;775
Eržen;Valentin;OK Azimut;A;0:41:27;11;932;;1104;992;932;3028;1009
Kenda;Klemen;OK Azimut;A;0:42:06;13;922;;906;964;922;2792;931
Pribaković Borštnik;Ana;OK Tivoli;A;0:42:14;14;920;844;887;;920;2651;884
Knap;Franc;OK Azimut;A;0:52:21;23;769;946;;935;769;2650;883
Petrovič;Dušan;OK Polaris;A;0:39:05;5;967;836;816;;967;2619;873
Čufer;David;PD Ajdovščina;A;0:47:13;21;845;759;603;;845;2207;736
Rupnik;Tilen;OK Azimut;A;0:39:42;7;958;-;;1026;958;1984;992
Lapajne;Jošt;OK Azimut;A;;;;948;;936;;1884;942
Udovič;Metka;SCOM Mendriso;A;1:21:16;35;335;711;;834;335;1880;627
Hvala;Gregor;OK Azimut;A;0:41:26;10;932;943;;;932;1875;938
Petrovič;Blaž;OK Polaris;A;0:38:59;4;969;864;;;969;1833;916
Kmetič;Sandi;OK Polaris;A;0:43:44;16;898;;929;;898;1827;914
Sušnik;Rok;OK Azimut;A;0:54:38;27;734;401;;680;734;1815;605
Alewijnse;Feike;OK Trzin;A;0:44:26;18;887;;;910;887;1797;898
Sladič;Roman;OK Perkmandeljc;A;;;;566;450;766;;1782;594
Maček;Marjan;ind.;A;0:42:33;15;915;840;;;915;1755;878
Kodrič;Nejc;PD Ajdovščina;A;0:53:21;24;754;;;947;754;1701;850
Kacin;Vojko;OK Azimut;A;mp;;;293;678;722;-;1693;564
Bartulovich;Lorenzo;SSD Gaja;A;0:46:22;19;858;753;;;858;1611;806
Borštnik;Aljaž;OK Tivoli;A;mp;;;;685;926;-;1611;806
Foški;Tajda;OK Polaris;A;0:54:15;26;740;;;825;740;1565;782
Čufer;Stanko;PD Ajdovščina;A;1:02:39;32;614;423;509;;614;1546;515
Burič;Uroš;RJZ Velenje;A;;;;409;190;867;;1466;489
Jeram;Nuša;OK Azimut;A;;;;;787;647;;1434;717
Zupan;Aleš;OK Polaris;A;0:53:35;25;750;;;684;750;1434;717
Clemente;Mauro;SSD Gaja;A;1:06:14;33;561;836;;;561;1397;698
Bosisio;Kristian;SCOM Mendriso;A;1:15:55;34;416;;;887;416;1303;652
Kete;Ivo;PD Ajdovščina;A;;;;301;;873;;1174;587
Zorman;Jernej;OK Komenda;A;;;;1163;;;;1163;1163
Borštnik;Aleš;OK Tivoli;A;mp;;;;417;686;-;1103;552
Hošek;Radim;KOB Dobruska;A;;;;1059;;;;1059;1059
Bogovič;Vid;OK Brežice;A;;;;1027;;;;1027;1027
Anderluh;Gregor;OK Polaris;A;0:38:57;3;969;;;;969;969;969
Pobežin;Robert;OK Polaris;A;0:40:59;9;939;;;;939;939;939
Foški;Valter;OK Polaris;A;0:42:01;12;923;;;;923;923;923
Bernik;Jerca;ŠOK;A;;;;;;897;;897;897
Tušar;Peter;OK Azimut;A;0:44:04;17;893;;;;893;893;893
Jazbar;Jožko;OK Azimut;A;;;;;;883;;883;883
Petrovič;Uroš;OK Polaris;A;;;;861;;;;861;861
Pretnar;Tanja;OK Azimut;A;;;;859;;;;859;859
Čelik;Matija;OK Azimut;A;;;;;797;;;797;797
Česnik;Martin;RKV Postojna;A;0:50:59;22;789;;;;789;789;789
Vodopivec;Samo;OK Azimut;A;;;;;;761;;761;761
Pizzamus;Paolo;SSD Gaja;A;;;;752;;;;752;752
Cvek;Manca;OK Azimut;A;;;;709;-;-;;709;709
Keresteš;Krešo;OK Trzin;A;;;;;;657;;657;657
Bartulovich;Antenore;SSD Gaja;A;0:59:58;28;654;-;;;654;654;654
Bončina;Igor;OK Azimut;A;1:00:03;29;653;;;;653;653;653
Radovan;Dalibor;OK Polaris;A;1:00:41;31;644;;;;644;644;644
Plavčak;Ana;OK Azimut;A;1:00:39;30;644;;;;644;644;644
Krivičić;Dragan;OK Prekmandeljc;A;1:41:49;36;28;;-831;607;28;635;318
Leoni;Gianluca;SSD Gaja;A;;;;558;;;;558;558
