Surname;First name;Cl.name;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;Sum;Average
Mrak;Tibor;OK Azimut;A;;;;1116;1294;1172;974;;1077;1063;1104;;;;;;;;;5763;1153
Borštnik;Andrej;OK Tivoli;A;0:34:36;3;1046;1164;897;1013;965;966;;1126;;;;;826;;;;1046;5315;1063
Zorman;Jernej;OK Komenda;A;0:27:59;1;1154;1163;;;;;;1095;;978;;;;;;887;1154;5277;1055
Pretnar;Janez;OK Azimut;A;;;;1154;1011;981;;1055;;;930;;;;;;;;;5131;1026
Eržen;Valentin;OK Azimut;A;0:37:53;10;992;;1104;992;932;966;1000;899;948;;885;;;;;964;992;5054;1011
Lapajne;Jošt;OK Azimut;A;0:31:11;2;1102;948;;936;;;700;1105;653;;;;924;;;;1102;5015;1003
Kenda;Klemen;OK Azimut;A;0:37:56;11;992;;906;964;922;;872;967;;885;900;;952;;900;1050;992;4925;985
Petrovič;Dušan;OK Polaris;A;0:34:50;4;1042;836;816;;967;900;;892;970;914;919;;782;;;1014;1042;4912;982
Petrovič;Blaž;OK Polaris;A;0:36:20;8;1018;864;;;969;822;;972;815;912;878;;982;;;-;1018;4853;971
Čelik;Patrik;OK Azimut;A;;;;674;810;992;952;;896;;888;;;;;;;;;4538;908
Čufer;David;PD Ajdovščina;A;0:36:19;7;1018;759;603;;845;;874;;847;928;840;;843;;758;;1018;4512;902
Hvala;Gregor;OK Azimut;A;0:38:00;12;991;943;;;932;;800;676;833;;;;;;;;991;4499;900
Burič;Uroš;RJZ Velenje;A;0:36:00;6;1023;409;190;867;;933;;;;841;;;787;;;805;1023;4469;894
Knap;Franc;OK Azimut;A;;;;946;;935;769;;857;;675;;897;;;;;;;4404;881
Pribaković Borštnik;Ana;OK Tivoli;A;0:43:41;20;898;844;887;;920;716;;759;;833;;;782;;;;898;4382;876
Alewijnse;Feike;OK Trzin;A;0:40:43;17;946;;;910;887;587;;;;;;;880;;;736;946;4359;872
Bartulovich;Lorenzo;SSD Gaja;A;0:39:48;15;961;753;;;858;756;;;878;;845;;;;;;961;4298;860
Cimerman;Janez;OK Azimut;A;0:45:32;23;867;738;831;673;857;780;649;755;761;811;626;;822;;803;909;867;4286;857
Čufer;Stanko;PD Ajdovščina;A;0:39:30;14;966;423;509;;614;;862;823;677;520;869;;554;;739;;966;4259;852
Rupnik;Tilen;OK Azimut;A;0:37:44;9;995;-;;1026;958;;637;584;-;;;;;;;;995;4200;840
Foški;Valter;OK Polaris;A;0:43:26;19;902;;;;923;-;;822;692;;;;;;805;;902;4144;829
Borštnik;Aljaž;OK Tivoli;A;;;;;685;926;-;907;;936;;652;;;;;;;;4106;821
Pobežin;Robert;OK Polaris;A;0:35:06;5;1038;;;;939;;;951;-;879;;;;;;;1038;3807;952
