Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;Sum;Average
Zmrzlikar;Jure;OK Komenda;A;1:55:30;2;1117;1140;1134;1117;3391;1130
Zorman;Jernej;OK Komenda;A;2:01:10;3;1022;1042;1118;1022;3182;1061
Mrak;Tibor;OK Azimut;A;2:01:16;4;1020;1027;1064;1020;3111;1037
Kračun;Rajko;OK Polaris;A;2:04:47;5;961;1115;804;961;2880;960
Dovč;Jan;OK Tivoli;A;2:08:06;6;905;818;867;905;2590;863
Kokelj;Denis;OK Komenda;A;2:22:43;7;661;953;925;661;2539;846
Šegula;Aljaž;Mariborski OK;A;;;;;2258;;2258;2258
Borštnik;Andrej;OK Tivoli;A;;;;983;874;;1857;928
Mikložič;Primož;Mariborski OK;A;;;;845;825;;1670;835
Burič;Uroš;Rod Jezerski zmaj Velenje;A;;;;747;706;;1453;726
Dahli;Magne;Team Czech Republic;A;;;;1395;;;1395;1395
Dlabaja;Tomáš;Team Czech Republic;A;;;;1383;;;1383;1383
Kubát;Pavel;Team Czech Republic;A;;;;1376;;;1376;1376
Nykodým;Miloš;Team Czech Republic;A;;;;1359;;;1359;1359
Procházka;Jan;Team Czech Republic;A;;;;1347;;;1347;1347
Nikolov;Kiril;Variant ;A;;;;1343;;;1343;1343
Petržela;Jan;Team Czech Republic;A;;;;1334;;;1334;1334
Kodeda;Štěpán;Team Czech Republic;A;;;;1325;;;1325;1325
Dallavalle;Roberto;Italynational team;A;;;;1324;;;1324;1324
Gremmel;Helmut;HSV Pinkafeld;A;;;;1315;;;1315;1315
Mamleev;Mikhail;Italynational team;A;;;;1311;;;1311;1311
Nožka;Radek;Team Czech Republic;A;;;;1310;;;1310;1310
Šedivý;Jan;Team Czech Republic;A;;;;1309;;;1309;1309
Čufer;David;PD Ajdovščina;A;;;;757;547;;1304;652
Corona;Emiliano;Italynational team;A;;;;1301;;;1301;1301
Caraglio;Michele;Italynational team;A;;;;1288;;;1288;1288
Kallio Könnö;Jarno;RastiKurikka;A;;;;1279;;;1279;1279
Brandt;Christoph;Naturfreunde Wien;A;;;;1277;;;1277;1277
Nilsson Simkovics;Erik;Ulricehamns OK;A;;;;1272;;;1272;1272
Schgaguler;Klaus;Italynational team;A;;;;1270;;;1270;1270
Tenani;Alessio;Italynational team;A;;;;1269;;;1269;1269
