Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Tušar;Peter;OK Azimut;A;0:23:39;9;964;1073;;;;1051;1056;1010;964;5154;1031
Kenda;Klemen;OK Azimut;A;;;;931;941;888;865;941;982;994;;4789;958
Šumečki;Žan Luka;RJZ Velenje;A;;;;839;817;-;1018;865;;1046;;4585;917
Primožič;Aljoša;OK Azimut;A;;;;970;799;851;866;902;982;;;4571;914
Cimerman;Janez;OK Azimut;A;;;;869;862;817;;905;834;;;4287;857
Pribaković Borštnik;Ana;OK Tivoli;A;;;;;895;;864;918;840;734;;4251;850
Borštnik;Aleš;OK Tivoli;A;mp;;;;893;757;831;725;751;853;-;4085;817
Kmetič;Sandi;OK Polaris;A;0:22:27;7;994;1010;;;;963;;1035;994;4002;1000
Petrovič;Dušan;OK Polaris;A;0:20:21;3;1045;;;;958;890;;1066;1045;3959;990
Petrovič;Blaž;OK Polaris;A;0:21:15;5;1023;;904;;991;;;1026;1023;3944;986
Anderluh;Gregor;OK Polaris;A;0:21:48;6;1010;;1036;;;984;;881;1010;3911;978
Foški;Valter;OK Polaris;A;0:34:49;17;690;;;562;831;862;;763;690;3708;742
Čufer;Stanko;PD Ajdovščina;A;;;;;939;;;827;787;1023;;3576;894
Borštnik;Aljaž;OK Tivoli;A;0:25:30;11;919;;-;;;712;977;935;919;3543;886
Jazbar;Jožko;OK Azimut;A;;;;865;880;798;;;969;;;3512;878
Čufer;David;PD Ajdovščina;A;;;;;767;895;;972;869;;;3503;876
Piltaver;Jaka;OK Brežice;A;;;;1146;;1214;;1137;;;;3497;1166
Zmrzlikar;Jure;OK Komenda;A;;;;;1074;;;1091;;1155;;3320;1107
Flerin;Mojca;OK Komenda;A;0:18:53;2;1081;;;;857;897;;;1081;2835;945
Zorman;Jernej;OK Komenda;A;;;;;1100;;1002;;;698;;2800;933
Burič;Uroš;RJZ Velenje;A;;;;;970;856;;923;;;;2749;916
Škarabot;Miha;OK Polaris;A;0:28:26;13;847;;;;;938;;865;847;2650;883
Rupnik;Andraž;OK Azimut;A;;;;860;;-;;792;922;;;2574;858
Foški;Tajda;OK Polaris;A;;;;;;;800;889;;814;;2503;834
Kete;Ivo;PD Ajdovščina;A;;;;416;530;;;;727;671;;2344;586
Bernik;Jerca;ŠOK;A;0:33:03;15;733;;715;;;;;875;733;2323;774
Rojc;Iztok;OK Polaris;A;0:18:22;1;1094;;;;;;1047;;1094;2141;1070
Borštnik;Andrej;OK Tivoli;A;0:20:54;4;1032;;;;;;;1104;1032;2136;1068
Bogovič;Vid;OK Brežice;A;0:27:58;12;858;;;;;;;1034;858;1892;946
