Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Zorman;Jernej;OK Komenda;A;0:33:19;1;1136;;;1102;;1101;1078;1127;1136;5544;1109
Dovč;Jan;OK Tivoli;A;0:37:24;2;1078;1019;1102;1078;992;1062;1010;1111;1078;5431;1086
Borštnik;Andrej;OK Tivoli;A;0:43:47;4;987;1031;945;1065;;1132;1005;;987;5220;1044
Flerin;Mojca;Kamniški OK;A;0:49:24;8;907;;916;1034;;1062;972;1028;907;5012;1002
Močnik;Rok;OK Azimut;A;;;;;991;1020;865;896;960;993;;4860;972
Foški;Valter;OK Polaris;A;0:53:24;11;850;;922;1002;806;818;;775;850;4398;880
Pribaković Borštnik;Ana;OK Tivoli;A;0:54:56;12;829;;;879;;889;815;747;829;4159;832
Pretnar;Janez;Kamniški OK;A;;;;;1063;995;;;1032;1012;;4102;1026
Neve;Jasmine;OK Komenda;A;;;;;1005;1034;;841;;1017;;3897;974
Bogataj;Mark;OK Azimut;A;;;;;;882;;987;988;943;;3800;950
Borštnik;Aleš;OK Tivoli;A;1:04:17;16;696;705;603;581;;872;;-;696;3457;691
Čerin;Aleš;OK Tivoli;A;1:14:32;21;550;599;;;;739;676;765;550;3329;666
Šumečki;Žan Luka;OK Tivoli;A;;;;999;1053;;;996;;;;3048;1016
Hribernik;Matej;ind.;A;0:44:04;5;983;;;980;;1039;;;983;3002;1001
Stanonik;Simon;OK Azimut;A;;;;;;;;974;988;1012;;2974;991
Flašker;Ajda;OK Komenda;A;0:48:29;7;920;;;;;948;1004;;920;2872;957
Ravnikar;Monika;OK Komenda;A;1:05:15;18;682;;673;;;809;678;;682;2842;710
Kolman;Miran;OK Azimut;A;;;;;;784;;;958;959;;2701;900
Blaž;Matic;OK Komenda;A;;;;;755;;;921;891;;;2567;856
Omersa;Dane;OK Azimut;A;0:47:30;6;934;;;858;;723;;;934;2515;838
Kos;Virgil;OK Tivoli;A;0:56:28;13;807;;;;869;832;;;807;2508;836
Čufer;Stanko;PD Ajdovščina;A;;;;;;;;850;849;793;;2492;831
Bončina;Igor;OK Azimut;A;;;;589;611;682;;604;;;;2486;622
Ravnikar;Žan;OK Komenda;A;;;;;796;;;748;893;;;2437;812
Kos;Janez Elija;OK Tivoli;A;0:57:00;14;799;;831;772;;;;-;799;2402;801
Rivetta;Andrea;Semiperdo Maniago;A;;;;;;723;819;;;822;;2364;788
Kacin;Vojko;OK Azimut;A;;;;;;;664;431;672;584;;2351;588
Korošec;Janez;OK Komenda;A;0:53:01;10;856;;754;638;;;;;856;2248;749
Zmrzlikar;Jure;OK Komenda;A;0:41:18;3;1022;;1072;;;;;;1022;2094;1047
Gantar;Lara;OK Azimut;A;;;;;;698;;668;681;;;2047;682
Tušar;Peter;OK Azimut;A;;;;;;994;;;;1049;;2043;1022
Beguš;Urša;OK Azimut;A;;;;;;592;;670;680;;;1942;647
Čerin;Boštjan;OK Tivoli;A;;;;;894;;;;;864;;1758;879
Borštnik;Aljaž;OK Tivoli;A;;;;908;;;;840;;;;1748;874
Jurca;Matej;OK Tivoli;A;;;;908;758;;;;;;;1666;833
Kete;Ivo;PD Ajdovščina;A;;;;;;;;741;814;;;1555;778
Kunc;Robert;OK Tivoli;A;;;;779;;;;;;637;;1416;708
Foški;Brina;OK Polaris;A;1:04:25;17;694;;;562;;;;;694;1256;628
Eržen;Boris;OK Polaris;A;;;;;567;;;;679;;;1246;623
Štanfel;Matjaž;OK Ris Delnice;A;;;;;;;;1176;;;;1176;1176
Zupančič;Maja;RJZ Velenje;A;1:02:29;15;721;;;;;417;;;721;1138;569
Giacometti;Carlo;SSD Gaja;A;;;;;;;689;378;;;;1067;534
Lapajne;Jošt;OK Azimut;A;;;;;;;;;1018;;;1018;1018
Sedej;Vlado;OK Azimut;A;;;;;;;716;205;;;;921;460
Kenda;Klemen;OK Azimut;A;;;;-;;;;919;;;;919;919
Petrovič;Dušan;OK Polaris;A;;;;;;916;;;;;;916;916
Pirnat;Luka;ind.;A;0:50:05;9;898;;;;;;;;898;898;898
Kodrič;Nejc;PD Ajdovščina;A;;;;;;;870;;;;;870;870
Pobežin;Robert;OK Polaris;A;;;;;;867;;;;;;867;867
Petrovič;Gašper;OK Polaris;A;;;;;;839;;;;;;839;839
Černe;Aljaž;OK Tivoli;A;;;;-;;;;;;810;;810;810
Jazbar;Jožko;OK Azimut;A;;;;;;;807;;;;;807;807
Tarabocchia;Cesare;GR OR CAI XXX OTTOBRE ASD;A;;;;;;;806;;;;;806;806
Dovč;Katja;OK Tivoli;A;;;;800;;;;;;;;800;800
Zobavnik;Aleš;Kamniški OK;A;;;;;791;;;;;;;791;791
Pizzamus;Paolo;SSD Gaja;A;;;;;;;786;;;;;786;786
Foški;Tajda;OK Polaris;A;;;;;;;783;;;;;783;783
Grad;Jaka;OK Tivoli;A;;;;741;;;;;;;;741;741
Kunc;Gregor;OK Tivoli;A;;;;730;;;;;;;;730;730
Casagrande;Eva;OK Tivoli;A;;;;724;;;;;;;;724;724
Kacin;Emil;OK Azimut;A;;;;;;;;720;;;;720;720
Tomažin;Urša;OK Azimut;A;;;;;;;;708;;;;708;708
Pretnar;Tanja;Kamniški OK;A;;;;;702;;;;;;;702;702
Močnik;Matic;OK Azimut;A;;;;;;-;;695;;;;695;695
Kuzmin;Anka;SEMIPERDO MANIAGO;A;;;;;;;675;;;;;675;675
Brenčič;Žiga;OK Komenda;A;1:07:29;19;650;;;;;;;;650;650;650
Kastelic;Simon;ind.;A;1:07:40;20;648;;;;;;;;648;648;648
Šumečki;Janez;ind.;A;;;;;;637;;;;;;637;637
Dagarin;Meta;ind.;A;;;;;;621;;;;;;621;621
Lapajne;Janko;OK Azimut;A;;;;;;;593;;;;;593;593
Vukajlovič;Vladan;OK Azimut;A;;;;;;;515;;;;;515;515
Smrekar;Peter;OK Tivoli;A;;;;488;;;;;;;;488;488
Černigoj;Jernej;ind.;A;;;;;;;479;;;;;479;479
Lemut;Gal;ind.;A;;;;;;;442;;;;;442;442
Čopi;Gašper;OK Azimut;A;;;;;;;;209;;;;209;209
Maček;Marjan;ind.;A;mp;;;;;;;;;;-;0;0
Golja;Elio;OK Polaris;B;0:36:10;1;321;;324;261;;285;;355;321;1546;309
Foški;Brina;OK Polaris;B;;;;;303;;306;260;;234;;1103;276
Zavrl;Zala;OK Komenda;B;;;;;221;339;;304;;230;;1094;274
Jezeršek;Polona;OK Komenda;B;;;;;-;220;;328;236;242;;1026;256
Pogačar;Ana Pia;OK Komenda;B;;;;;267;258;;321;;178;;1024;256
Jamsek;Klara;OK Komenda;B;;;;;216;224;;316;233;;;989;247
Šumečki;Janez;Rod Jezerski zmaj Velenje;B;;;;;129;;;278;275;270;;952;238
Foški;Tajda;OK Polaris;B;;;;;335;250;;;;366;;951;317
Primožič;Patricija;OK Komenda;B;;;;;175;239;;294;;173;;881;220
Nelson;Charles;OK Azimut;B;;;;;;;285;311;264;;;860;287
Pogačar;Aljoša;OK Komenda;B;;;;;191;287;;348;;;;826;275
Seljak;Borut;OK Komenda;B;0:57:07;5;199;;;292;;;;305;199;796;265
Korelc;Mihala;OK Komenda;B;;;;;211;232;;;-;203;;646;215
Dobravec;Pia;OK Azimut;B;;;;;;214;;242;161;;;617;206
Erznožnik;Matic;OK Azimut;B;;;;;;126;;161;307;-;;594;198
Kavšek;Iztok;OK Komenda;B;;;;;;300;;;;291;;591;296
Zupan;Gregor;OK Komenda;B;;;;;231;196;;;;158;;585;195
Soban;Matic;PD Ajdovščina;B;;;;;;;345;;;216;;561;280
Boncina;Igor;OK Azimut;B;;;;;;;;;268;247;;515;258
Zavrl;Janez;OK Komenda;B;;;;;;;;246;;264;;510;255
Pretnar;Irma;Kamniški OK;B;;;;;166;169;;;;165;;500;167
Dovč;Katja;OK Tivoli;B;0:51:10;2;230;;255;;;;;;230;485;242
Čopi;Gašper;OK Azimut;B;;;;;238;;;;239;;;477;238
Ravnikar;Nika;OK Komenda;B;;;;;;186;;254;-;-;;440;220
Ortar;Miranda;OK Azimut;B;;;;;154;;;;218;;;372;186
Kos;Virgil;OK Tivoli;B;;;;;;369;;;;;;369;369
Pistor;Matej;Mariborski OK;B;;;;;366;;;;;;;366;366
Vuga Seljak;Alenka;OK Komenda;B;0:53:20;3;218;;;137;;;;-;218;355;178
Kenda;Klemen;OK Azimut;B;;;;;;;;;345;;;345;345
Hribernik;Matej;ind.;B;;;;;343;;;;;;;343;343
Gantar;Lara;OK Azimut;B;;;;;;;;;;339;;339;339
Kušar;Barbara;ind.;B;1:09:33;7;159;;;;177;;;;159;336;168
Foschian;Andrea;Semiperdo Orienteering Maniago;B;;;;;;;321;;;;;321;321
Kunc;Gregor;OK Tivoli;B;;;;;207;;;;;106;;313;156
Vegelj;Nace;OK Azimut;B;;;;;;;;;310;;;310;310
Miklavec;Sara;OK Tivoli;B;;;;303;;;;;;;;303;303
Gantar;Tjaž;OK Azimut;B;;;;;;;;;298;;;298;298
Kunc;Robert;OK Tivoli;B;;;;;285;;;;;;;285;285
Černe;Aljaž;OK Tivoli;B;;;;;285;;;;;;;285;285
Škvarč;Dejan;PD Ajdovščina;B;;;;;;;280;;;;;280;280
Lovrec;Valerija;Kamniški OK;B;;;;;;271;;;;;;271;271
Rozzi;Alessio;SSD Gaja;B;;;;;;;266;;;;;266;266
Simonelli;Maria Elena;SEMIPERDO MANIAGO;B;;;;;;;239;;;;;239;239
Lipužič;Marjeta;OK Komenda;B;;;;;;;;236;;;;236;236
Siega;Gianfranco;SSD Gaja;B;;;;;;;228;;;;;228;228
Marc;Jan;PD Ajdovščina;B;;;;;;;;;;223;;223;223
Lapajne;Janko;OK Azimut;B;mp;;;;;;;;221;;-;221;221
Ruzzier;Fiorenzo;SSD Gaja;B;;;;;;;221;;;;;221;221
Peternelj;Maja;ind.;B;0:53:21;4;215;;;;;;;;215;215;215
Visintin;Federica;Semiperdo Orienteering Maniago;B;;;;;;;206;;;;;206;206
Grad;Jaka;OK Tivoli;B;;;;;;-;;;;196;;196;196
Rovere;Francesca;SSD Gaja  Sezione Orientamento;B;;;;;;;195;;;;;195;195
Sedej;Vlado;OK Azimut;B;;;;;;;;;194;;;194;194
Juvan;Neža;ind.;B;;;;;;;;174;;;;174;174
Kušar;Žiga;ind.;B;1:07:29;6;167;;;;;;;;167;167;167
Poljanec;Suzana;OK Azimut;B;;;;;;;;;165;;;165;165
Humar;Anja;OK Azimut;B;;;;;;162;;;-;;;162;162
Šijanec;Ana;OK Komenda;B;;;;;161;;;;;;;161;161
Korelc;Andrej;OK Komenda;B;;;;;;156;;;-;-;;156;156
Zupan;Romana;OK Komenda;B;;;;;;;;;;144;;144;144
Strasser;Špela;Mariborski OK;B;;;;;143;;;;;;;143;143
Smrekar;Peter;OK Tivoli;B;;;;;-;142;;;;;;142;142
Pravato;Lorenza;SSD Gaja;B;;;;;;;135;;;;;135;135
Demonte;Tiziana;Cai XXX Ottobre;B;;;;;;;116;;;;;116;116
Kovač;Marija;PD Ajdovščina;B;;;;;;;;;;116;;116;116
Slamič;Borja;PD Ajdovščina;B;;;;;;;106;;;;;106;106
Špenko;Zala;ind.;B;;;;;;100;;;;;;100;100
Dovč;Rebeka;OK Tivoli;C;;;;;;100;107;105;;;;312;104
Seljak;Luka;OK Komenda;C;0:24:46;2;88;;;83;;;;36;88;207;69
Plavčak;Ana;OK Polaris;C;;;;;103;;;;101;;;204;102
Zupan;Tilen;OK Komenda;C;;;;;79;-;;;;106;;185;92
Zupan;Lara;OK Komenda;C;;;;;;105;;;;29;;134;67
Turk;Nejc;OK Komenda;C;;;;;;;;65;;58;;123;62
Korelc;Benjamin;OK Komenda;C;;;;;;111;;;;;;111;111
Jurca;Maja;OK Tivoli;C;;;;;107;;;;;;;107;107
Miklavec;Sara;OK Tivoli;C;;;;106;;;;;;;;106;106
Kos;Bernard;OK Tivoli;C;0:20:30;1;106;;;;;;;;106;106;106
Casagrande;Aleksander;OK Tivoli;C;;;;106;;;;;;;;106;106
Grad;Filip;OK Tivoli;C;;;;;;59;;;;45;;104;52
Zupan;Romana;OK Komenda;C;;;;;;103;;;;;;103;103
Kušar;Katarina;OK Polaris;C;;;;;;;101;;;;;101;101
Kolenc;Andrej;OK Komenda;C;;;;;98;;;;;;;98;98
Hernec;Rok;OK Tivoli;C;;;;;;97;;;;;;97;97
Oberč;Veronika;OK Tivoli;C;0:45:19;4;48;;;;;46;;;48;94;47
Kos;Terezija;OK Tivoli;C;0:49:20;5;44;;;;;50;;;44;94;47
Kunc;Matevž;OK Tivoli;C;;;;;86;;;;;;;86;86
Dovč;Maj;OK Tivoli;C;;;;84;;;;;;;;84;84
Mirtič;Anže;OK Komenda;C;;;;;;78;;;;;;78;78
Zabukovec;Klemen;PD Ajdovščina;C;;;;;;;76;;;;;76;76
Ilovar;Rok;OK Tivoli;C;;;;75;;;;;;;;75;75
Strgar;Taja;OK Komenda;C;;;;;72;;;;;;;72;72
Rajgelj;Chiara;SSD Gaja;C;;;;;;;72;;;;;72;72
Žvanut;Tilen;PD Ajdovščina;C;;;;;;;68;;;;;68;68
Gregorc;Denis;OK Komenda;C;;;;;;67;;;;;;67;67
Hribernik;Matevž;ind.;C;0:33:24;3;65;;;;;;;;65;65;65
Strnad;Andreja;OK Tivoli;C;;;;;63;;;;;-;;63;63
Ferenc;Tinka;OK Tivoli;C;;;;62;;;;;;;;62;62
