Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;Sum;Average
Dovč;Jan;OK Tivoli;A;0:47:13;2;1078;1019;1102;1078;3199;1066
Borštnik;Andrej;OK Tivoli;A;0:48:30;3;1065;1031;945;1065;3041;1014
Pretnar;Janez;Kamniški OK;A;0:55:28;8;995;;1063;995;2058;1029
Šumečki;Žan Luka;OK Tivoli;A;;;;999;1053;;2052;1026
Neve;Jasmine;OK Komenda;A;0:51:33;4;1034;;1005;1034;2039;1020
Močnik;Rok;OK Azimut;A;0:52:59;6;1020;;991;1020;2011;1006
Flerin;Mojca;Kamniški OK;A;0:51:37;5;1034;;916;1034;1950;975
Foški;Valter;OK Polaris;A;0:54:49;7;1002;;922;1002;1924;962
Borštnik;Aleš;OK Tivoli;A;1:36:57;26;581;705;603;581;1889;630
Bončina;Igor;OK Azimut;A;1:26:52;21;682;589;611;682;1882;627
Jurca;Matej;OK Tivoli;A;;;;908;758;;1666;833
Kos;Janez Elija;OK Tivoli;A;1:17:51;18;772;;831;772;1603;802
Korošec;Janez;OK Komenda;A;1:31:18;22;638;;754;638;1392;696
Zorman;Jernej;OK Komenda;A;0:44:49;1;1102;;;1102;1102;1102
Zmrzlikar;Jure;OK Komenda;A;;;;;1072;;1072;1072
Tušar;Peter;OK Azimut;A;0:55:36;9;994;;;994;994;994
Hribernik;Matej;ind.;A;0:56:59;10;980;;;980;980;980
Petrovič;Dušan;OK Polaris;A;1:03:22;11;916;;;916;916;916
Borštnik;Aljaž;OK Tivoli;A;;;;908;;;908;908
Čerin;Boštjan;OK Tivoli;A;;;;;894;;894;894
Bogataj;Mark;OK Azimut;A;1:06:51;12;882;;;882;882;882
Pribaković Borštnik;Ana;OK Tivoli;A;1:07:06;13;879;;;879;879;879
Pobežin;Robert;OK Polaris;A;1:08:22;14;867;;;867;867;867
Omersa;Dane;OK Azimut;A;1:09:11;15;858;;;858;858;858
Petrovič;Gašper;OK Polaris;A;1:11:08;16;839;;;839;839;839
Dovč;Katja;OK Tivoli;A;;;;800;;;800;800
Ravnikar;Žan;OK Komenda;A;;;;;796;;796;796
Zobavnik;Aleš;Kamniški OK;A;;;;;791;;791;791
Kolman;Miran;OK Azimut;A;1:16:39;17;784;;;784;784;784
Kunc;Robert;OK Tivoli;A;;;;779;;;779;779
Blaž;Matic;OK Komenda;A;;;;;755;;755;755
Grad;Jaka;OK Tivoli;A;;;;741;;;741;741
Kunc;Gregor;OK Tivoli;A;;;;730;;;730;730
Casagrande;Eva;OK Tivoli;A;;;;724;;;724;724
Rivetta;Andrea;Semiperdo Maniago;A;1:22:46;19;723;;;723;723;723
Pretnar;Tanja;Kamniški OK;A;;;;;702;;702;702
Gantar;Lara;OK Azimut;A;1:25:13;20;698;;;698;698;698
Ravnikar;Monika;OK Komenda;A;;;;;673;;673;673
Šumečki;Janez;ind.;A;1:31:21;23;637;;;637;637;637
Dagarin;Meta;ind.;A;1:32:59;24;621;;;621;621;621
Čerin;Aleš;OK Tivoli;A;;;;599;;;599;599
Beguš;Urša;OK Azimut;A;1:35:53;25;592;;;592;592;592
Eržen;Boris;OK Polaris;A;;;;;567;;567;567
Foški;Brina;OK Polaris;A;1:38:54;27;562;;;562;562;562
Smrekar;Peter;OK Tivoli;A;;;;488;;;488;488
Močnik;Matic;OK Azimut;A;mp;;;;;-;0;0
Foški;Tajda;OK Polaris;B;0:51:42;9;250;;335;250;585;292
Golja;Elio;OK Polaris;B;0:50:30;7;261;;324;261;585;292
Zavrl;Zala;OK Komenda;B;0:38:57;2;339;;221;339;560;280
Pogačar;Ana Pia;OK Komenda;B;0:50:31;8;258;;267;258;525;262
Pogačar;Aljoša;OK Komenda;B;0:46:05;5;287;;191;287;478;239
Korelc;Mihala;OK Komenda;B;0:55:08;11;232;;211;232;443;222
Jamsek;Klara;OK Komenda;B;0:56:32;12;224;;216;224;440;220
Zupan;Gregor;OK Komenda;B;1:02:40;15;196;;231;196;427;214
Primožič;Patricija;OK Komenda;B;0:53:59;10;239;;175;239;414;207
Kos;Virgil;OK Tivoli;B;0:35:23;1;369;;;369;369;369
Pistor;Matej;Mariborski OK;B;;;;;366;;366;366
Hribernik;Matej;ind.;B;;;;;343;;343;343
Pretnar;Irma;Kamniški OK;B;1:11:31;17;169;;166;169;335;168
Miklavec;Sara;OK Tivoli;B;;;;303;;;303;303
Foški;Brina;OK Polaris;B;;;;;303;;303;303
Kavšek;Iztok;OK Komenda;B;0:44:46;3;300;;;300;300;300
Seljak;Borut;OK Komenda;B;0:45:48;4;292;;;292;292;292
Kunc;Robert;OK Tivoli;B;;;;;285;;285;285
Černe;Aljaž;OK Tivoli;B;;;;;285;;285;285
Lovrec;Valerija;Kamniški OK;B;0:48:49;6;271;;;271;271;271
Dovč;Katja;OK Tivoli;B;;;;;255;;255;255
Čopi;Gašper;OK Azimut;B;;;;;238;;238;238
Jezeršek;Polona;OK Komenda;B;0:56:47;13;220;;-;220;220;220
Dobravec;Pia;OK Azimut;B;0:57:49;14;214;;;214;214;214
Kunc;Gregor;OK Tivoli;B;;;;;207;;207;207
Ravnikar;Nika;OK Komenda;B;1:05:43;16;186;;;186;186;186
Humar;Anja;OK Azimut;B;1:13:28;18;162;;;162;162;162
Šijanec;Ana;OK Komenda;B;;;;;161;;161;161
Korelc;Andrej;OK Komenda;B;1:15:22;19;156;;;156;156;156
Ortar;Miranda;OK Azimut;B;;;;;154;;154;154
Strasser;Špela;Mariborski OK;B;;;;;143;;143;143
Smrekar;Peter;OK Tivoli;B;1:21:34;20;142;;-;142;142;142
Vuga Seljak;Alenka;OK Komenda;B;1:23:10;21;137;;;137;137;137
Šumečki;Janez;Rod Jezerski zmaj Velenje;B;;;;;129;;129;129
Erznožnik;Matic;OK Azimut;B;1:28:27;22;126;;;126;126;126
Špenko;Zala;ind.;B;1:49:19;23;100;;;100;100;100
Grad;Jaka;OK Tivoli;B;mp;;;;;-;0;0
Korelc;Benjamin;OK Komenda;C;0:14:47;1;111;;;111;111;111
Jurca;Maja;OK Tivoli;C;;;;;107;;107;107
Miklavec;Sara;OK Tivoli;C;;;;106;;;106;106
Casagrande;Aleksander;OK Tivoli;C;;;;106;;;106;106
Zupan;Lara;OK Komenda;C;0:15:32;2;105;;;105;105;105
Zupan;Romana;OK Komenda;C;0:15:44;3;103;;;103;103;103
Plavčak;Ana;ŠOK;C;;;;;103;;103;103
Dovč;Rebeka;OK Tivoli;C;0:16:05;4;100;;;100;100;100
Kolenc;Andrej;OK Komenda;C;;;;;98;;98;98
Hernec;Rok;OK Tivoli;C;0:16:22;5;97;;;97;97;97
Kunc;Matevž;OK Tivoli;C;;;;;86;;86;86
Dovč;Maj;OK Tivoli;C;;;;84;;;84;84
Seljak;Luka;OK Komenda;C;0:19:19;6;83;;;83;83;83
Zupan;Tilen;OK Komenda;C;mp;;;;79;-;79;79
Mirtič;Anže;OK Komenda;C;0:20:22;7;78;;;78;78;78
Ilovar;Rok;OK Tivoli;C;;;;75;;;75;75
Strgar;Taja;OK Komenda;C;;;;;72;;72;72
Gregorc;Denis;OK Komenda;C;0:23:22;8;67;;;67;67;67
Strnad;Andreja;OK Tivoli;C;;;;;63;;63;63
Ferenc;Tinka;OK Tivoli;C;;;;62;;;62;62
Grad;Filip;OK Tivoli;C;0:26:25;9;59;;;59;59;59
Švigelj;Zala Mia;OK Komenda;C;0:26:35;10;58;;;58;58;58
Omerzu;Tija;OK Komenda;C;0:26:46;11;56;;;56;56;56
Casagrande;Oskar;OK Tivoli;C;;;;48;;;48;48
Casagrande;Gloria;OK Tivoli;C;;;;35;;;35;35
Gregorc;Erik;OK Komenda;C;mp;;;;;-;0;0
