Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Bačnar;Janko;OK Azimut;A;0:41:48;4;949;848;;;1000;;1042;888;949;4727;945
Obid;Marko;OK Azimut;A;0:56:26;9;539;806;746;;769;;;;539;2860;715
Eržen;Boris;OK Polaris;A;;;;559;785;;748;;;634;;2726;682
Štanfel;Matjaž;OK Azimut;A;;;;1370;1280;;;;;;;2650;1325
Pust;Tomaž;OK Komenda;A;;;;765;821;;865;;;;;2451;817
Čufer;Stanko;PD Ajdovščina;A;;;;888;919;;;;;635;;2442;814
Kremžar;Tomaž;OK Komenda;A;;;;;1032;;836;572;;-;;2440;813
Tušar;Peter;OK Azimut;A;;;;;;;1246;;;1088;;2334;1167
Ravnikar;Žan;OK Komenda;A;;;;1227;;;;1094;;;;2321;1160
Blaž;Matic;OK Komenda;A;;;;;1098;;;;;1080;;2178;1089
Kölner;Blaž;OK Komenda;A;;;;1046;910;;;;;;;1956;978
Gregorc;Urban;PD Ajdovščina;A;;;;960;;;;;;807;;1767;884
Eržen;Valentin;OK Azimut;A;0:40:59;2;971;767;;;;;;;971;1738;869
Sedej;Matej;OK Azimut;A;0:46:39;6;813;;;;;843;;;813;1656;828
Pribaković Borštnik;Ana;OK Tivoli;A;;;;;849;;;671;;;;1520;760
Kete;Ivo;PD Ajdovščina;A;;;;571;;;;;;803;;1374;687
Zavrl;Zala;OK Komenda;A;;;;;511;;;832;;;;1343;672
Bogataj;Mark;OK Azimut;A;;;;;;;1248;;;;;1248;1248
Piltaver;Jaka;OK Brežice;A;;;;;1212;;;;;;;1212;1212
Zorman;Jernej;OK Komenda;A;;;;;1209;;;;;;;1209;1209
Salopek;Tihomir;OK Azimut;A;;;;1183;;;;;;;;1183;1183
Stanonik;Simon;OK Azimut;A;;;;;;;;;1151;;;1151;1151
Muchidinov;Sergiy;Friuli MTB  Orienteering;A;0:34:38;1;1149;;;;;;;;1149;1149;1149
Rojc;Iztok;OK Polaris;A;;;;;1099;;;;;;;1099;1099
Hvala;Gregor;OK Azimut;A;;;;;;;1099;;;;;1099;1099
Kolner;Blaž;OK Komenda;A;;;;;;;;1089;;;;1089;1089
Rupnik;Ambrož;OK Azimut;A;;;;1065;;;;;;;;1065;1065
Zupan;Gregor;OK Komenda;A;;;;;1048;;;;;;;1048;1048
Petrovič;Dušan;OK Polaris;A;;;;;1008;;;;;;;1008;1008
Pretnar;Janez;Kamniški OK;A;;;;;1000;;;;;;;1000;1000
Jevševar;Bojan;OK Brežice;A;;;;;991;;;;;;;991;991
Čerin;Matej;OK Tivoli;A;;;;;989;;;;;;;989;989
Ievstafiev;Oleksandr;ind.;A;;;;;;;;;973;;;973;973
Borish;Tori;SSDAŠZ GAJA;A;0:41:35;3;955;;;;;;;;955;955;955
Škarabot;Miha;OK Polaris;A;;;;;924;;;;;;;924;924
Razpet;Deja;OK Azimut;A;0:43:50;5;892;;;;;;;;892;892;892
Hribar;Anica;OK Brežice;A;;;;;890;;;;;;;890;890
Jezeršek;Polona;ind.;A;;;;;;;;864;;;;864;864
Gavrilov;Igor;Polzela;A;;;;;861;;;;;;;861;861
